0	102200008			100008			8797978
0	102200009			100009			6917998
0	102200010			100010			72089996
0	102200011			100011			2820000
0	102200012			100012			2863100
0	102200013			100013			87272100
0	102200014			100014			9376300
0	102200015			100015			92374000
0	102200016			100016			2340154610
0	102200017			100017			1999357017
0	102200018			100018			692441409
0	102200019			100019			987654300
0	102200020			100020			58368400
0	102200021			100021			6766000
0	102200022			100022			66920000
0	102200023			100023			200000000
0	102200024			100024			7200000
0	102200025			100025			21002900
0	102200026			100026			79832000
0	102200027			100027			2843729
0	102200028			100028			9362239
0	102200029			100029			70000000
0	102200030			100030			65736980
0	102200031			100031			67000000
0	102200032			100032			181000000
0	102200033			100033			53920000
